Base;Fecha;Año;Mes;Temperatura
Esperanza;1/12/2004;2004;12;0
Marambio;1/1/2004;2004;1;-2
Marambio;1/2/2004;2004;2;-4
Marambio;1/3/2004;2004;3;-6
Marambio;1/4/2004;2004;4;-9
Marambio;1/5/2004;2004;5;-11
Marambio;1/6/2004;2004;6;-14
Marambio;1/7/2004;2004;7;-16
Marambio;1/8/2004;2004;8;-15
Marambio;1/9/2004;2004;9;-12
Marambio;1/10/2004;2004;10;-9
Marambio;1/11/2004;2004;11;-7
Marambio;1/12/2004;2004;12;-4
Orcadas;1/1/2004;2004;1;-3
Orcadas;1/2/2004;2004;2;-5
Orcadas;1/3/2004;2004;3;-7
Orcadas;1/4/2004;2004;4;-10
Orcadas;1/5/2004;2004;5;-12
Orcadas;1/6/2004;2004;6;-15
Orcadas;1/7/2004;2004;7;-17
Orcadas;1/8/2004;2004;8;-16
Orcadas;1/9/2004;2004;9;-13
Orcadas;1/10/2004;2004;10;-10
Orcadas;1/11/2004;2004;11;-8
Orcadas;1/12/2004;2004;12;-5
San Martín;1/1/2004;2004;1;2
San Martín;1/2/2004;2004;2;0
San Martín;1/3/2004;2004;3;-2
San Martín;1/4/2004;2004;4;-5
San Martín;1/5/2004;2004;5;-7
San Martín;1/6/2004;2004;6;-10
San Martín;1/7/2004;2004;7;-12
San Martín;1/8/2004;2004;8;-11
San Martín;1/9/2004;2004;9;-8
San Martín;1/10/2004;2004;10;-5
San Martín;1/11/2004;2004;11;-3
San Martín;1/12/2004;2004;12;1
Belgrano II;1/1/2004;2004;1;-6
Belgrano II;1/2/2004;2004;2;-8
Belgrano II;1/3/2004;2004;3;-10
Belgrano II;1/4/2004;2004;4;-13
Belgrano II;1/5/2004;2004;5;-15
Belgrano II;1/6/2004;2004;6;-18
Belgrano II;1/7/2004;2004;7;-20
Belgrano II;1/8/2004;2004;8;-19
Belgrano II;1/9/2004;2004;9;-15
Belgrano II;1/10/2004;2004;10;-12
Belgrano II;1/11/2004;2004;11;-10
Belgrano II;1/12/2004;2004;12;-7
Cámara;1/1/2004;2004;1;0
Cámara;1/2/2004;2004;2;-2
Cámara;1/3/2004;2004;3;-4
Cámara;1/4/2004;2004;4;-7
Cámara;1/5/2004;2004;5;-9
Cámara;1/6/2004;2004;6;-12
Cámara;1/7/2004;2004;7;-14
Cámara;1/8/2004;2004;8;-13
Cámara;1/9/2004;2004;9;-10
Cámara;1/10/2004;2004;10;-7
Cámara;1/11/2004;2004;11;-5
Cámara;1/12/2004;2004;12;-2
Decepción;1/1/2004;2004;1;-1
Decepción;1/2/2004;2004;2;-3
Decepción;1/3/2004;2004;3;-5
Decepción;1/4/2004;2004;4;-8
Decepción;1/5/2004;2004;5;-10
Decepción;1/6/2004;2004;6;-13
Decepción;1/7/2004;2004;7;-15
Decepción;1/8/2004;2004;8;-14
Decepción;1/9/2004;2004;9;-11
Decepción;1/10/2004;2004;10;-8
Decepción;1/11/2004;2004;11;-6
Decepción;1/12/2004;2004;12;-3
Primavera;1/1/2004;2004;1;1
Primavera;1/2/2004;2004;2;-1
Primavera;1/3/2004;2004;3;-3
Primavera;1/4/2004;2004;4;-6
Primavera;1/5/2004;2004;5;-8
Primavera;1/6/2004;2004;6;-11
Primavera;1/7/2004;2004;7;-13
Primavera;1/8/2004;2004;8;-12
Primavera;1/9/2004;2004;9;-9
Primavera;1/10/2004;2004;10;-6
Primavera;1/11/2004;2004;11;-4
Primavera;1/12/2004;2004;12;0
Melchior;1/1/2004;2004;1;-4
Melchior;1/2/2004;2004;2;-6
Melchior;1/3/2004;2004;3;-8
Melchior;1/4/2004;2004;4;-11
Melchior;1/5/2004;2004;5;-13
Melchior;1/6/2004;2004;6;-16
Melchior;1/7/2004;2004;7;-18
Melchior;1/8/2004;2004;8;-17
Melchior;1/9/2004;2004;9;-14
Melchior;1/10/2004;2004;10;-11
Melchior;1/11/2004;2004;11;-9
Melchior;1/12/2004;2004;12;-6
Brown;1/1/2004;2004;1;-5
Brown;1/2/2004;2004;2;-7
Brown;1/3/2004;2004;3;-9
Brown;1/4/2004;2004;4;-12
Brown;1/5/2004;2004;5;-14
Brown;1/6/2004;2004;6;-17
Brown;1/7/2004;2004;7;-19
Brown;1/8/2004;2004;8;-18
Brown;1/9/2004;2004;9;-15
Brown;1/10/2004;2004;10;-12
Brown;1/11/2004;2004;11;-10
Brown;1/12/2004;2004;12;-7
Petrel;1/1/2004;2004;1;-4
Petrel;1/2/2004;2004;2;-6
Petrel;1/3/2004;2004;3;-8
Petrel;1/4/2004;2004;4;-11
Petrel;1/5/2004;2004;5;-13
Petrel;1/6/2004;2004;6;-16
Petrel;1/7/2004;2004;7;-18
Petrel;1/8/2004;2004;8;-17
Petrel;1/9/2004;2004;9;-14
Petrel;1/10/2004;2004;10;-11
Petrel;1/11/2004;2004;11;-9
Petrel;1/12/2004;2004;12;-6
Matienzo;1/1/2004;2004;1;-2
Matienzo;1/2/2004;2004;2;-4
Matienzo;1/3/2004;2004;3;-6
Matienzo;1/4/2004;2004;4;-9
Matienzo;1/5/2004;2004;5;-11
Matienzo;1/6/2004;2004;6;-14
Matienzo;1/7/2004;2004;7;-16
Matienzo;1/8/2004;2004;8;-15
Matienzo;1/9/2004;2004;9;-12
Matienzo;1/10/2004;2004;10;-9
Matienzo;1/11/2004;2004;11;-7
Matienzo;1/12/2004;2004;12;-4
Carlini;1/1/2005;2005;1;0
Carlini;1/2/2005;2005;2;-2
Carlini;1/3/2005;2005;3;-4
Carlini;1/4/2005;2005;4;-7
Carlini;1/5/2005;2005;5;-9
Carlini;1/6/2005;2005;6;-12
Carlini;1/7/2005;2005;7;-14
Carlini;1/8/2005;2005;8;-13
Carlini;1/9/2005;2005;9;-10
Carlini;1/10/2005;2005;10;-7
Carlini;1/11/2005;2005;11;-5
Carlini;1/12/2005;2005;12;-2
Esperanza;1/1/2005;2005;1;1
Esperanza;1/2/2005;2005;2;-1
Esperanza;1/3/2005;2005;3;-3
Esperanza;1/4/2005;2005;4;-6
Esperanza;1/5/2005;2005;5;-8
Esperanza;1/6/2005;2005;6;-11
Esperanza;1/7/2005;2005;7;-13
Esperanza;1/8/2005;2005;8;-12
Esperanza;1/9/2005;2005;9;-9
Esperanza;1/10/2005;2005;10;-6
Esperanza;1/11/2005;2005;11;-4
Esperanza;1/12/2005;2005;12;0
Marambio;1/1/2005;2005;1;-2
Marambio;1/2/2005;2005;2;-4
Marambio;1/3/2005;2005;3;-6
Marambio;1/4/2005;2005;4;-9
Marambio;1/5/2005;2005;5;-11
Marambio;1/6/2005;2005;6;-14
Marambio;1/7/2005;2005;7;-16
Marambio;1/8/2005;2005;8;-15
Marambio;1/9/2005;2005;9;-12
Marambio;1/10/2005;2005;10;-9
Marambio;1/11/2005;2005;11;-7
Marambio;1/12/2005;2005;12;-4
Orcadas;1/1/2005;2005;1;-3
Orcadas;1/2/2005;2005;2;-5
Orcadas;1/3/2005;2005;3;-7
Orcadas;1/4/2005;2005;4;-10
Orcadas;1/5/2005;2005;5;-12
Orcadas;1/6/2005;2005;6;-15
Orcadas;1/7/2005;2005;7;-17
Orcadas;1/8/2005;2005;8;-16
Orcadas;1/9/2005;2005;9;-13
Orcadas;1/10/2005;2005;10;-10
Orcadas;1/11/2005;2005;11;-8
Orcadas;1/12/2005;2005;12;-5
San Martín;1/1/2005;2005;1;2
San Martín;1/2/2005;2005;2;0
San Martín;1/3/2005;2005;3;-2
San Martín;1/4/2005;2005;4;-5
San Martín;1/5/2005;2005;5;-7
San Martín;1/6/2005;2005;6;-10
San Martín;1/7/2005;2005;7;-12
San Martín;1/8/2005;2005;8;-11
San Martín;1/9/2005;2005;9;-8
San Martín;1/10/2005;2005;10;-5
San Martín;1/11/2005;2005;11;-3
San Martín;1/12/2005;2005;12;1
Belgrano II;1/1/2005;2005;1;-6
Belgrano II;1/2/2005;2005;2;-8
Belgrano II;1/3/2005;2005;3;-10
Belgrano II;1/4/2005;2005;4;-13
Belgrano II;1/5/2005;2005;5;-15
Belgrano II;1/6/2005;2005;6;-18
